Function,Actions,Memory,AvgRuntime,Cost,CloudObjects
generate_formulas,84,512,7.774392806904761,0.005550916464129999,2688
get_formulas_number_per_chunk,32,512,5.0970955340625,0.0013864099852650001,0
store_formulas_segments,32,512,6.1088518050000005,0.0016616076909599998,256
store_formula_to_id_chunk,1,1536,7.75534868,0.00019776139134,1
calculate_peaks_chunk,256,2048,13.836252904492186,0.12043074528070001,256
get_portable_imzml_reader,1,1024,5.52577353,9.393815001000001e-05,1
upload_chunk,3,3072,22.972441596666666,0.00351478356429,3
get_segm_bounds,1,1024,17.12888074,0.00029119097257999997,0
segment_spectra_chunk,3,2560,15.725680826666666,0.0020050243054,9
merge_spectra_chunk_segments,3,2560,12.513772963333333,0.0015955060528250005,12
clip_centr_df_chunk,256,512,3.9161776761718747,0.008521602623350001,256
get_first_peak_mz,256,512,3.3674206026171873,0.007327507231295009,0
segment_centr_chunk,256,512,4.652764244140625,0.010124414995249999,8192
merge_centr_df_segments,32,2048,2.821905165625,0.0030702328201999995,286
process_centr_segment,286,2048,10.745670917167832,0.10449090399853997,285
build_ranking,96,1536,4.052813316458334,0.009921286998689993,96
merge_rankings,16,256,10.634553104375,0.0007231496110975,0
get_target_images,285,1024,2.432959930491228,0.011787690863230007,0
